study_id,land_use_system,land_use_type,area_id,sample_set,sample_pooling,sample_plot_size_m,design_type,continent,country,country_region,climate_zone,precipitation_condition,sampling_year,sampling_season,sampling_month,soil_sample_number,soil_depth_cm,soil_type,species_delimination_method,shannon_index,total_number_of_species_in_study,species_richness_absolute,species_richness_relative,OTU_total_in_study,OTU_number_absolute,OTU_number_relative,ACE,Chao1,pielou_evenness,berger_dominance,simpson,dominant_phylum,dominant_func_guild,notes
1,primary forest,natural,1,1,FALSE,,field study,europe,Latvia,Cesis distric,temperate,38.052,2007,autumn,october,1,1-10,"typical podzol, halpic cambisols",morphological +genetically,2.50,,,,,,,,,,,,,,
1,primary forest,natural,1,2,FALSE,,field study,europe,Latvia,Valka district,temperate,38.052,2007,autumn,october,1,1-10,"typical podzol, halpic cambisols",morphological +genetically,2.10,,,,,,,,,,,,,,
1,primary forest,natural,1,3,FALSE,,field study,europe,Latvia,Valka district,temperate,38.052,2007,autumn,october,1,1-10,"typical podzol, halpic arenosols",morphological +genetically,3.20,,,,,,,,,,,,,,
1,agricultural meadow,moderate,2,1,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,1-10,"gleyic sodpodzolic soil, stagnic cambisols",morphological +genetically,2.30,,,,,,,,,,,,,,
1,agricultural meadow,moderate,2,2,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,1-10,"granula alluvial soil, fluvic cambisols",morphological +genetically,3.30,,,,,,,,,,,,,,
1,agricultural meadow,moderate,2,3,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,1-10,"pseudogley sodpodzolic soil, endogleyic umbrisols",morphological +genetically,3.20,,,,,,,,,,,,,,
1,arable land,strong anthropogene,3,1,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,1-10,"pseudogley sodpodzolic soil, endogleyic umbrisols",morphological +genetically,2.75,,,,,,,,,,,,,,
1,arable land,strong anthropogene,3,2,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,1-10,"sod-pseudogley soil, mollic luvic stagnosols",morphological +genetically,2.25,,,,,,,,,,,,,,
1,arable land,strong anthropogene,3,3,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,1-10,"sod-pseudogley soil, endogleyic umbrisols",morphological +genetically,2.90,,,,,,,,,,,,,,
1,former argicultural land,moderate,4,1,FALSE,,field study,europe,Latvia,Cesis distric,temperate,38.052,2007,autumn,october,1,1-10,"eroded soil, halpic luvisols",morphological +genetically,2.85,,,,,,,,,,,,,,
1,former argicultural land,moderate,4,2,FALSE,,field study,europe,Latvia,Cesis distric,temperate,38.052,2007,autumn,october,1,1-10,"colluvial soil, halpic luvisols",morphological +genetically,3.20,,,,,,,,,,,,,,
1,primary forest,natural,1,1,FALSE,,field study,europe,Latvia,Cesis distric,temperate,38.052,2007,autumn,october,1,10-30,"typical podzol, halpic cambisols",morphological +genetically,2.30,,,,,,,,,,,,,,
1,primary forest,natural,1,2,FALSE,,field study,europe,Latvia,Valka district,temperate,38.052,2007,autumn,october,1,10-30,"typical podzol, halpic cambisols",morphological +genetically,2.70,,,,,,,,,,,,,,
1,primary forest,natural,1,3,FALSE,,field study,europe,Latvia,Valka district,temperate,38.052,2007,autumn,october,1,10-30,"typical podzol, halpic arenosols",morphological +genetically,3.05,,,,,,,,,,,,,,
1,agricultural meadow,moderate,2,1,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,10-30,"gleyic sodpodzolic soil, stagnic cambisols",morphological +genetically,2.25,,,,,,,,,,,,,,
1,agricultural meadow,moderate,2,2,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,10-30,"granula alluvial soil, fluvic cambisols",morphological +genetically,2.15,,,,,,,,,,,,,,
1,agricultural meadow,moderate,2,3,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,10-30,"pseudogley sodpodzolic soil, endogleyic umbrisols",morphological +genetically,2.35,,,,,,,,,,,,,,
1,arable land,strong anthropogene,3,1,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,10-30,"pseudogley sodpodzolic soil, endogleyic umbrisols",morphological +genetically,2.75,,,,,,,,,,,,,,
1,arable land,strong anthropogene,3,2,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,10-30,"sod-pseudogley soil, mollic luvic stagnosols",morphological +genetically,3.00,,,,,,,,,,,,,,
1,arable land,strong anthropogene,3,3,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,10-30,"sod-pseudogley soil, endogleyic umbrisols",morphological +genetically,2.85,,,,,,,,,,,,,,
1,former argicultural land,moderate,4,1,FALSE,,field study,europe,Latvia,Cesis distric,temperate,38.052,2007,autumn,october,1,10-30,"eroded soil, halpic luvisols",morphological +genetically,2.90,,,,,,,,,,,,,,
1,former argicultural land,moderate,4,2,FALSE,,field study,europe,Latvia,Cesis distric,temperate,38.052,2007,autumn,october,1,10-30,"colluvial soil, halpic luvisols",morphological +genetically,2.25,,,,,,,,,,,,,,
1,primary forest,natural,1,1,FALSE,,field study,europe,Latvia,Cesis distric,temperate,38.052,2007,autumn,october,1,30-40,"typical podzol, halpic cambisols",morphological +genetically,1.90,,,,,,,,,,,,,,
1,primary forest,natural,1,2,FALSE,,field study,europe,Latvia,Valka district,temperate,38.052,2007,autumn,october,1,30-40,"typical podzol, halpic cambisols",morphological +genetically,2.45,,,,,,,,,,,,,,
1,primary forest,natural,1,3,FALSE,,field study,europe,Latvia,Valka district,temperate,38.052,2007,autumn,october,1,30-40,"typical podzol, halpic arenosols",morphological +genetically,2.90,,,,,,,,,,,,,,
1,agricultural meadow,moderate,2,1,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,30-40,"gleyic sodpodzolic soil, stagnic cambisols",morphological +genetically,1.50,,,,,,,,,,,,,,
1,agricultural meadow,moderate,2,2,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,30-40,"granula alluvial soil, fluvic cambisols",morphological +genetically,2.30,,,,,,,,,,,,,,
1,arable land,strong anthropogene,3,2,FALSE,,field study,europe,Latvia,Jelgava district,temperate,55.758,2007,summer,august,1,30-40,"sod-pseudogley soil, mollic luvic stagnosols",morphological +genetically,2.30,,,,,,,,,,,,,,
1,former argicultural land,moderate,4,1,FALSE,,field study,europe,Latvia,Cesis distric,temperate,38.052,2007,autumn,october,1,30-40,"eroded soil, halpic luvisols",morphological +genetically,1.75,,,,,,,,,,,,,,
1,former argicultural land,moderate,4,2,FALSE,,field study,europe,Latvia,Cesis distric,temperate,38.052,2007,autumn,october,1,30-40,"colluvial soil, halpic luvisols",morphological +genetically,2.30,,,,,,,,,,,,,,
2,secondary forest,natural,1,1,TRUE,100 x 100,field study,asia,Thailand,Tha Kum-Huai Raeng Forest Reserve,tropical,645.067,2008,rainy,august,1,0-10,,morphological ,2.19,71,33,0.46,,,,,,,,,Ascomycota,saprophytic,
2,grassland,moderate,2,1,TRUE,100 x 100,field study,asia,Thailand,Tha Kum-Huai Raeng Forest Reserve,tropical,645.067,2008,rainy,august,1,0-10,,morphological ,1.65,71,38,0.54,,,,,,,,,Zygomycota,saprophytic,
2,monoculture,moderate,3,1,TRUE,100 x 100,field study,asia,Thailand,Tha Kum-Huai Raeng Forest Reserve,tropical,645.067,2008,rainy,august,1,0-10,,morphological ,1.56,71,27,0.38,,,,,,,,,Zygomycota,saprophytic,ruber plantation
2,monoculture,moderate,4,1,TRUE,100 x 100,field study,asia,Thailand,Tha Kum-Huai Raeng Forest Reserve,tropical,645.067,2008,rainy,august,1,0-10,,morphological ,2.12,71,29,0.41,,,,,,,,,Ascomycota,saprophytic, Phayoong plantation
2,monoculture,strong anthropogene,5,1,TRUE,100 x 100,field study,asia,Thailand,Tha Kum-Huai Raeng Forest Reserve,tropical,645.067,2008,rainy,august,1,0-10,,morphological ,2.90,71,36,0.51,,,,,,,,,Ascomycota,saprophytic,"pineapple plantation, high pathogenes"
4,primary forest,natural,1,1,TRUE,2.5 x 2,field study,south america,Brazil,Pernambuco,tropical,270.004,2009,rainy,july,20,0-15,,genetically,3.29,63,38,0.60,,,,,,0.90,0.10,,Ascomycota,saprophytic,
4,primary forest,natural,1,2,TRUE,2.5 x 2,field study,south america,Brazil,Pernambuco,tropical,109.373,2010,dry,february,20,0-15,,genetically,2.90,56,27,0.48,,,,,,0.88,0.15,,Ascomycota,saprophytic,
